phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
D,high_gamma,band,random_forest,0.5102603611700666,0.5181818181818182,0.25999999999999995,0.7098484848484848,985,15,76,18,
D,fast_gamma,band,svm_rbf,0.4899527672091585,0.48718358580890553,0.25,0.7314018218623481,986,14,76,18,
D,fast_gamma,band,random_forest,0.5272117883193632,0.5281746031746032,0.3013020833333333,0.7265963203463204,986,14,76,18,
D,theta_delta,ratio,svm_rbf,0.47912933056646434,0.481096689688021,0.24521493212669682,0.6725478468899522,976,24,76,18,
D,theta_delta,ratio,random_forest,0.4767185160846027,0.4796626984126984,0.25581293706293706,0.6767361111111112,976,24,76,18,
D,beta_delta,ratio,svm_rbf,0.5169382952389343,0.5178571428571429,0.35714285714285715,0.6873245320855615,982,18,76,18,
D,beta_delta,ratio,random_forest,0.4813035163337605,0.4834249084249084,0.27577205882352945,0.6660087719298246,982,18,76,18,
D,low_gamma_delta,ratio,svm_rbf,0.4990650159428392,0.501890756302521,0.34529352226720644,0.6347298534798534,986,14,76,18,
D,low_gamma_delta,ratio,random_forest,0.539829076581353,0.5484983766233766,0.3660714285714286,0.6764705882352942,986,14,76,18,
D,high_gamma_delta,ratio,svm_rbf,0.48180022399057726,0.4976190476190476,0.2916666666666667,0.6168939393939393,989,11,76,18,
D,high_gamma_delta,ratio,random_forest,0.4960444397411057,0.4977272727272727,0.3,0.6720798691563309,989,11,76,18,
D,fast_gamma_delta,ratio,svm_rbf,0.4703290031857249,0.47435897435897434,0.26868131868131867,0.6353146853146853,985,15,76,18,
D,fast_gamma_delta,ratio,random_forest,0.52222733180717,0.5222222222222221,0.31346153846153846,0.7327380952380951,985,15,76,18,
D,beta_theta,ratio,svm_rbf,0.40309844634431796,0.40625,0.17833104395604396,0.595558608058608,987,13,76,18,
D,beta_theta,ratio,random_forest,0.4575156961073481,0.462406015037594,0.2717300724637681,0.6379044117647059,987,13,76,18,
D,low_gamma_theta,ratio,svm_rbf,0.46899820819442734,0.475,0.22693452380952378,0.6666666666666666,981,19,76,18,
D,low_gamma_theta,ratio,random_forest,0.5038689326535487,0.5,0.31875477463712754,0.6950483091787439,981,19,76,18,
D,high_gamma_theta,ratio,svm_rbf,0.5174923701844886,0.525,0.25955357142857144,0.7279093567251462,983,17,76,18,
D,high_gamma_theta,ratio,random_forest,0.5609729420905899,0.5686274509803921,0.3522916666666666,0.7520454545454542,983,17,76,18,
